epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,7024.95,0.51956,0.38564,0.97141,0.99342,0.98595,0.98951,0.96711,0.26054,0.14313,0.74544,0.006007,0.006007,0.006007
123,7081.39,0.51262,0.38084,0.96672,0.99174,0.98717,0.98957,0.96848,0.2574,0.14046,0.74369,0.005974,0.005974,0.005974
124,7137.27,0.51636,0.38567,0.96989,0.99087,0.98769,0.98923,0.96681,0.25886,0.14136,0.74393,0.005941,0.005941,0.005941
125,7193.62,0.51467,0.3872,0.96709,0.99091,0.98731,0.98949,0.96906,0.25602,0.14097,0.74301,0.005908,0.005908,0.005908
126,7249.74,0.51609,0.38556,0.9697,0.99131,0.98731,0.98942,0.96867,0.25699,0.14027,0.74376,0.005875,0.005875,0.005875
127,7305.92,0.50972,0.38445,0.96583,0.99364,0.98682,0.98985,0.96884,0.25876,0.14129,0.74455,0.005842,0.005842,0.005842
128,7362.57,0.51612,0.38766,0.968,0.99169,0.98881,0.98976,0.96959,0.25771,0.13969,0.74364,0.005809,0.005809,0.005809
129,7419.37,0.51152,0.38222,0.96692,0.99441,0.98647,0.98973,0.96991,0.25452,0.1371,0.74202,0.005776,0.005776,0.005776
130,7475.79,0.51588,0.38367,0.96942,0.99175,0.98808,0.98954,0.96906,0.25761,0.13876,0.74303,0.005743,0.005743,0.005743
131,7532.05,0.50968,0.38179,0.9639,0.99291,0.98767,0.98976,0.96972,0.25474,0.13721,0.74244,0.00571,0.00571,0.00571
132,7588.02,0.51306,0.3852,0.96852,0.99338,0.98802,0.98975,0.97057,0.25384,0.13757,0.74194,0.005677,0.005677,0.005677
133,7644.5,0.50915,0.37643,0.96663,0.99146,0.98833,0.98961,0.9709,0.25252,0.13596,0.74201,0.005644,0.005644,0.005644
134,7700.94,0.51149,0.37797,0.96714,0.99276,0.98722,0.98966,0.96963,0.25588,0.13864,0.74284,0.005611,0.005611,0.005611
135,7756.78,0.51605,0.38069,0.97172,0.99257,0.98766,0.98974,0.96956,0.25434,0.13763,0.74275,0.005578,0.005578,0.005578
136,7813.55,0.5132,0.38144,0.96842,0.99409,0.98716,0.98996,0.96972,0.25454,0.13737,0.74242,0.005545,0.005545,0.005545
137,7869.41,0.51185,0.37644,0.96774,0.99301,0.98724,0.98978,0.96956,0.25504,0.13699,0.74261,0.005512,0.005512,0.005512
138,7925.8,0.50973,0.37413,0.96613,0.99386,0.98705,0.9898,0.97076,0.25071,0.13579,0.74114,0.005479,0.005479,0.005479
139,7982.67,0.50946,0.3773,0.96636,0.99407,0.98681,0.98984,0.97056,0.25144,0.13468,0.74178,0.005446,0.005446,0.005446
140,8038.49,0.50566,0.37271,0.96296,0.99394,0.98657,0.98983,0.96957,0.25443,0.13562,0.7423,0.005413,0.005413,0.005413
141,8095.03,0.51469,0.38045,0.96737,0.99335,0.98726,0.98981,0.9697,0.253,0.13483,0.74127,0.00538,0.00538,0.00538
142,8151.59,0.50522,0.37577,0.96599,0.994,0.98761,0.98984,0.97097,0.24955,0.13194,0.74056,0.005347,0.005347,0.005347
143,8207.95,0.50943,0.37568,0.96705,0.99238,0.98704,0.98969,0.97003,0.25481,0.13452,0.74275,0.005314,0.005314,0.005314
